tactic,feature,weight,rank
privilege-escalation,word__into,3.4544448922436697,5
privilege-escalation,word__inject,3.0781251861861385,6
privilege-escalation,word__startup,3.0681350254029773,7
privilege-escalation,word__valid,3.0285034326521085,8
privilege-escalation,char__injec,3.0194974200476783,9
privilege-escalation,char__nje,3.0194974200476783,10
privilege-escalation,char__nject,3.0194974200476783,11
privilege-escalation,char__inje,3.0194974200476783,12
privilege-escalation,char__njec,3.0194974200476783,13
privilege-escalation,char__ inj,2.928856684531057,14
privilege-escalation,char__ inje,2.928856684531057,15
privilege-escalation,word__run,2.921952323028104,16
privilege-escalation,char__inj,2.9162359376171585,17
privilege-escalation,word__process,2.7980144969885345,18
privilege-escalation,char__ject,2.730776005930279,19
privilege-escalation,char__jec,2.730776005930279,20
reconnaissance,word__scanned,2.823170544012624,1
reconnaissance,word__has scanned,2.551897208323523,2
reconnaissance,word__credentials citation,2.3071511082412983,3
reconnaissance,char__arge,2.223751726733854,4
reconnaissance,word__target,2.128298872224488,5
reconnaissance,char__arg,2.1276964321625877,6
reconnaissance,char__rge,2.1003602868194626,7
reconnaissance,word__phishing,2.0637626063709305,8
reconnaissance,word__vulnerable,2.0620826174272913,9
reconnaissance,word__on their,1.990946838996985,10
reconnaissance,char__ targ,1.9262588094184214,11
reconnaissance,word__their,1.9257253859802825,12
reconnaissance,char__arget,1.923988754967354,13
reconnaissance,char__targe,1.923988754967354,14
reconnaissance,char__targ,1.9224035308955754,15
reconnaissance,char__rget,1.9223244044655934,16
reconnaissance,char__ tar,1.8940669976454692,17
reconnaissance,word__to credential,1.7641732810573418,18
reconnaissance,char__ scan,1.7006702338775137,19
reconnaissance,word__harvesting,1.6983900623118409,20
resource-development,word__domains,4.290792548377442,1
resource-development,word__to host,4.072022413638304,2
resource-development,word__has compromised,3.5078743997843183,3
resource-development,word__created,3.343700182421591,4
resource-development,word__obtained,3.2781632631485906,5
resource-development,word__for,2.911120223030584,6
resource-development,word__and used,2.9107419524449347,7
resource-development,word__tools,2.748832394094336,8
resource-development,word__has obtained,2.653731779412157,9
resource-development,word__acquired,2.622300531199117,10
resource-development,word__servers,2.498433710738859,11
resource-development,word__has created,2.396485827001658,12
resource-development,word__registered,2.3717267919467964,13
resource-development,word__obtained and,2.344663629175145,14
resource-development,word__operations citation,2.3280988121817954,15
resource-development,word__developed,2.250726021945511,16
resource-development,word__operations,2.248681124538133,17
resource-development,word__registered domains,2.2390466780920804,18
resource-development,word__has hosted,2.2307042189430994,19
resource-development,word__org groups,2.208158291123617,20
stealth,word__credentials to,3.4259341135407326,1
stealth,char__ de,3.23371967156029,2
stealth,word__delete,3.1453427336782642,3
stealth,word__remove,3.1345216038271615,4
stealth,word__hidden,3.0435839407400302,5
stealth,word__delete files,3.0287305498597132,6
stealth,word__used compromised,2.9781817622494264,7
stealth,char__delet,2.7789002126346722,8
stealth,word__rundll32,2.7528147275127197,9
stealth,char__dele,2.733217136986059,10
stealth,word__exe,2.6970613396940655,11
stealth,word__hide,2.678358923108869,12
stealth,char__elet,2.6719548575567114,13
stealth,word__dll,2.666277602059097,14
stealth,char__dll,2.6452591237098457,15
stealth,char__ dele,2.585960810887257,16
stealth,char__ hi,2.5673528777598684,17
stealth,char__ del,2.5136437055157916,18
stealth,char__del,2.5064086063493916,19
stealth,word__strings,2.466921802872081,20
